,第1回,第2回,第3回,第4回,第5回,第6回,第7回,第8回,第9回,第10回,第11回,第12回,第13回,第14回,第15回,第16回,第17回,第18回,第19回,第20回,第21回,第22回,第23回,第24回,第25回,第26回,第27回,第28回,第29回,第30回,第31回,第32回,第33回,第34回,第35回,第36回,第37回,第38回,第39回,第40回,第41回,第42回,第43回,第44回,第45回,第46回,第47回,第48回,第49回,第50回,第51回,第52回,第53回,第54回,第55回,第56回,第57回,第58回,第59回,第60回,第61回,第62回,第63回,第64回,第65回,第66回,第67回,第68回,第69回,第70回,第71回,第72回,第73回,第74回,第75回,第76回,第77回,第78回,第79回,第80回,第81回,第82回,第83回,第84回,第85回,第86回,第87回,第88回,第89回,第90回,第91回,第92回,第93回,第94回,第95回,第96回,第97回,第98回,第99回,第100回,第101回,第102回,第103回,第104回,第105回,第106回,第107回,第108回,第109回,第110回,第111回,第112回,第113回,第114回,第115回,第116回,第117回,第118回,第119回,第120回
贾宝玉,0,2,32,0,53,14,26,77,34,5,10,1,11,14,55,25,46,39,114,53,49,40,53,39,45,68,29,94,39,68,58,32,35,42,69,45,42,16,23,12,23,11,34,12,21,17,11,11,36,28,40,75,10,34,5,43,58,42,9,24,15,74,57,39,1,11,20,0,1,46,7,2,15,23,12,3,78,65,26,23,65,69,9,49,66,23,40,7,67,13,30,22,17,38,44,50,45,62,11,15,21,9,0,19,5,6,6,52,69,9,8,6,29,23,68,76,39,54,35,39
林黛玉,0,1,46,1,4,0,9,15,3,0,0,3,1,2,0,7,0,11,16,18,9,26,16,6,30,18,19,52,34,29,16,25,0,16,16,13,4,8,1,8,4,13,1,1,11,4,0,7,14,8,1,4,1,2,2,0,26,9,4,2,0,12,12,15,1,2,19,0,0,15,1,0,3,3,0,13,0,0,4,0,6,45,24,1,15,10,19,0,20,23,5,3,0,11,4,34,54,40,3,6,0,2,0,8,0,1,0,7,8,1,1,0,4,1,1,10,1,3,0,1
薛宝钗,0,0,0,2,5,0,3,10,0,0,0,0,0,0,0,1,0,5,1,7,4,12,1,1,6,4,18,15,6,7,6,8,0,17,17,10,14,7,2,3,6,10,0,4,5,2,0,10,12,9,2,0,1,2,5,1,14,1,2,1,0,14,7,3,1,0,13,0,0,11,2,0,4,1,3,0,1,2,1,2,0,2,4,6,9,4,3,0,1,1,6,3,0,0,4,1,15,24,5,9,11,5,8,4,0,1,1,10,27,4,3,2,4,5,11,4,12,16,8,16
贾母,0,0,18,3,4,2,3,11,6,0,6,3,3,0,2,7,3,24,3,4,3,31,5,7,23,0,0,6,40,3,2,0,10,1,16,4,3,16,23,44,20,14,21,22,2,12,22,3,12,19,2,10,31,33,0,12,23,6,4,0,0,1,0,10,0,0,1,0,22,8,27,4,16,0,32,23,5,9,3,2,15,7,20,38,16,1,1,17,1,8,3,12,0,15,31,24,32,28,8,8,8,0,0,2,8,15,35,49,36,13,5,0,0,1,0,0,1,1,0,1
王熙凤,0,0,3,0,0,28,33,4,0,2,63,34,24,44,33,31,0,5,1,8,22,14,8,14,17,0,18,10,19,7,3,1,3,2,20,20,0,23,11,42,15,16,28,61,24,28,19,0,18,16,18,2,10,33,20,2,7,1,0,0,7,5,1,10,3,2,54,37,43,5,32,32,2,58,4,2,3,7,0,0,9,3,11,27,11,0,0,38,2,28,1,10,8,8,15,18,29,14,8,2,71,0,0,1,5,13,9,13,7,52,10,13,33,5,0,2,2,1,0,0
王夫人,0,1,20,12,1,3,14,3,3,0,20,3,14,1,3,4,0,14,0,1,4,3,14,5,28,1,3,16,5,9,9,14,12,16,13,18,0,6,2,17,8,3,13,4,1,9,6,1,2,0,4,5,7,7,8,5,6,4,3,1,0,4,0,3,0,0,5,1,4,5,6,1,2,24,9,7,45,17,2,9,20,3,4,20,4,3,0,13,2,4,8,2,0,21,26,32,15,11,0,7,9,5,12,11,3,3,7,4,13,8,2,6,5,2,26,13,36,38,71,16
史湘云,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,15,16,0,0,0,0,0,0,2,0,37,20,1,0,3,8,24,19,2,8,3,1,0,0,0,0,0,0,27,38,0,2,1,7,1,5,11,7,2,1,0,23,12,0,0,0,0,0,0,8,7,0,0,0,1,38,0,0,0,0,0,10,8,0,2,0,4,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,20,1,2,0,0,0,0,0,0,0,0,1,0
袭人,0,0,2,0,1,2,0,3,5,0,0,0,1,0,0,0,0,1,24,6,11,5,4,4,4,7,2,8,4,6,18,17,3,23,9,20,15,2,5,1,4,0,6,1,0,10,0,0,2,1,7,3,2,3,2,3,6,5,6,2,6,26,26,4,0,0,9,0,0,3,3,0,1,4,0,0,19,3,1,0,8,8,9,0,18,1,1,0,8,0,1,7,0,16,14,9,2,6,1,5,1,1,0,4,0,0,0,13,12,0,2,0,3,1,2,3,11,8,6,17
